Nombre inmueble,Latitud,Longitud
Virgilio Horacio Gastelum,22.906797,-109.959125
Centro de AtenciÛn M˙ltiple Juan PedrÌn,22.892508,-109.933122
Jes˙s Castro Ag˙ndez,22.897075,-109.92055
Arturo Guerrero,22.891658,-109.940306
JardÌn de NiÒos LeÛn Cota Collins,22.88875,-109.918756
Casa Juan Diego,22.932492,-109.934869
Prim. Rosario Morales,22.893267,-109.910819
Secundaria TÈcnica No. 5,23.476583,-109.714225
Sec. Alfredo Green Gonz¡°lez,23.372056,-109.777564
Telesecundaria No. 34,23.052992,-109.702181
Telesecundaria No. 29 Carmen Fisher Cota,22.883236,-109.917594
Secundaria JosÈ Refugio RodrÌguez,23.08941,-109.711877
Secundaria TÈcnica No. 14,23.119172,-109.712072
Secundaria Antonio Mijarez,23.099317,-109.721636
Secundaria TÈcnica No.18,22.913442,-109.965161
ExtensiÛn de la Universidad AutÛnoma de B.C.S.,22.929411,-109.928358
Prim. ValentÌn GÛmez Farias,25.025156,-111.665925
Prim. Pablo L. MartÌnez,25.033281,-111.6511
Prim. Alfredo Green Gonz¡°lez,25.035894,-111.641717
Prim. Jaime Torres Bodet,25.019303,-111.649231
Prim. Jes˙s Reyes Heroles,25.039186,-111.653303
Pedro Moreno,25.030844,-111.636825
Prim. Francisco I. Madero,25.025222,-111.669522
Centro de AtenciÛn M˙ltiple Jean Piaget,25.037831,-111.651286
Prim. Plutarco Elias Calles,25.262461,-111.776908
Rep˙blica de Cuba,25.190339,-112.109881
Prim. Juan DomÌnguez Cota,26.002194,-112.198167
Prim. JosÈ Ma. Morelos Y PavÛn,26.188703,-112.074311
Estado de Puebla,26.205689,-112.041986
Domingo Carballo FÈlix,25.260804,-111.780878
5 de Mayo,25.396389,-111.844808
Emiliano Zapata,25.768903,-112.026086
L¡°zaro C¡°rdenas,24.788569,-112.105631
Secundaria Ricardo Flores MagÛn,25.026014,-111.668414
Secuendaria Justo Sierra,25.038917,-111.651017
